,name,year,artists
405,Capítulo 2.7 - Banquero Anarquista,1922,['Fernando Pessoa']
398,Capítulo 2.21 - Banquero Anarquista,1922,['Fernando Pessoa']
413,Capítulo 1.14 - Banquero Anarquista,1922,['Fernando Pessoa']
425,Capítulo 2.17 - Banquero Anarquista,1922,['Fernando Pessoa']
630,Ekipa Je Na Nogama,1923,['FanChants: Navijači Radnički 1923']
628,Si Vous N'aimez Pas Ca,1923,['Maurice Chevalier']
528,Knockin' A Jug - 78 rpm Version,1923,['Louis Armstrong']
622,La Vuelta de Mi Amor - Remasterizado,1923,['Ignacio Corsini']
506,Everybody Loves My Baby,1923,"[""Clarence Williams' Blue Five""]"
514,Chicago Breakdown,1923,['Louis Armstrong']
623,Il N'osait Pas Se Decider,1923,['Georgius']
539,Weary Blues,1923,['Louis Armstrong & His Hot Seven']
546,"Stomp Off, Let's Go",1923,"[""Erskine Tate's Vendome Orchestra""]"
535,A Monday Date,1923,['Louis Armstrong & His Hot Seven']
583,Chanson De Route De Ciboulette,1923,['Edmée Favart']
584,Ma Gosse,1923,['Georgius']
597,La Garconniere - Remasterizado,1923,['Ignacio Corsini']
598,D'la Vraie Amour,1923,['Gaby Montbreuse']
552,The Bridwell Blues,1923,['Nolan Welsh']
854,Evocación - Remasterizado,1924,['Francisco Canaro']
20420,Oh mademoiselle,1924,['Mistinguett']
20428,Buena Suerte - Remasterizado,1924,['Francisco Canaro']
20442,Swanee River,1924,['Lionel Hampton Orchestra']
859,La Diana - Remasterizado,1924,['Francisco Canaro']
850,Par politesse,1924,['Georgius']
667,Barnacle Bill The Sailor,1924,"['Bix Beiderbecke', 'Hoagy Carmichael & His Orchestra']"
828,Mi Noche Alegre - Remasterizado,1924,['Francisco Canaro']
681,Rockin' Chair,1924,"['Bix Beiderbecke', 'Hoagy Carmichael & His Orchestra']"
693,Ki Ki - Remasterizado,1924,['Francisco Canaro']
696,Pelco y Trama,1924,['Jailess']
703,Francesita - Remasterizado,1924,['Francisco Canaro']
709,Sin Consuelo - Remasterizado,1924,['Francisco Canaro']
715,El Flechazo - Remasterizado,1924,['Francisco Canaro']
716,Avec bidasse,1924,['Johann Sebastian Bach']
731,Passons la monnaie,1924,['Georgius']
783,Dites moi m'sieur chevalier,1924,['Maurice Chevalier']
848,Yo Tartamudeo - Remasterizado,1924,['Francisco Canaro']
784,China - Remasterizado,1924,['Francisco Canaro']
803,Il Picolo Navio - Remasterizado,1924,['Francisco Canaro']
823,Maullidos - Remasterizado,1924,['Ignacio Corsini']
785,Potato Head Blues,1924,['Louis Armstrong & His Hot Seven']
20449,Acuarelita de Arrabal - Remasterizado,1925,"['Francisco Canaro', 'Azucena Maizani']"
20461,Heartbreak Hotel,1925,"['Tommy Dorsey', 'Elvis Presley']"
20480,Don't Forget To Mess Around,1925,['Louis Armstrong & His Hot Five']
20484,Elle Met Des Chaussinettes,1925,['Gaston Ouvrard']
20489,Tembladeral - Remasterizado,1925,['Francisco Canaro']
20501,He's Still My Baby - Woman To Woman,1925,['Lee Morse']
20503,Canta Corazón - Remasterizado,1925,"['Francisco Canaro', 'Azucena Maizani']"
20505,Veracruz - Remasterizado,1925,['Francisco Canaro']
1046,Je Ne Dis Pas Non,1925,['Maurice Chevalier']
1038,Trago Amargo - Remasterizado,1925,['Ignacio Corsini']
961,Two-Time Man,1925,['Don Redman and His Orchestra']
1015,That's My Weakness Now,1925,['Cliff Edwards']
991,I'm Gonna Gitcha,1925,['Louis Armstrong & His Hot Five']
985,Tierra Mia - Remasterizado,1925,['Francisco Canaro']
983,Rhumboogie,1925,['Tommy Dorsey']
978,Pas Sur La Bouche,1925,['René Koval']
968,Hella Often Freestyle,1925,['Old Grape God']
967,La Carrera - Remasterizado,1925,['Ignacio Corsini']
950,There's Good Blues Tonight,1925,['Tommy Dorsey & His Clambake Seven']
946,Bugle Call Rag,1925,"['""Test for Victor Young""']"
929,Who Stole The Lock (On The Hen-House Door),1925,['Jack Bland']
928,Big Fat Ma and Skinny Pa,1925,['Louis Armstrong & His Hot Five']
916,"Come Back, Sweet Papa",1925,['Louis Armstrong & His Hot Five']
915,Take The 'A' Train,1925,['Tommy Dorsey']
911,Easy Does It,1925,['Tommy Dorsey']
888,The King of the Zulus,1925,['Louis Armstrong & His Hot Five']
1019,Campana de Plata - Remasterizado,1925,['Ignacio Corsini']
996,Come Up And See Me Sometime,1925,['Ethel Waters']
1000,Virgencita del Talar - Remasterizado,1925,['Francisco Canaro']
867,Muskrat Ramble,1925,['Louis Armstrong & His Hot Five']
1008,Penas de Arrabal - Remasterizado,1925,"['Francisco Canaro', 'Azucena Maizani']"
1014,Los Carreteros - Remasterizado,1925,['Ignacio Corsini']
1001,Mon Anisette,1925,['Andrée Turcy']
1013,"Carmen, 13, Acte 2, Duo De Carmen Et Don José (1ère Partie): ""Je Vais Danser En Votre Honneur""",1925,['Georges Thill']
58645,Kapitel 268 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58669,Kapitel 281 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58667,Часть 7.2 - Фиеста,1926,['Эрнест Хемингуэй']
58666,Часть 48.2 - Фиеста,1926,['Эрнест Хемингуэй']
58664,Часть 70.2 - Фиеста,1926,['Эрнест Хемингуэй']
58663,Часть 15.2 - Фиеста,1926,['Эрнест Хемингуэй']
58662,Часть 35.4 & Часть 36.1 - Фиеста,1926,['Эрнест Хемингуэй']
58660,Kapitel 88 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
